,Month,All items,Food,Food at home,Food away from home,Energy,Electricity,Gasoline (all types),All items less food and energy,Furniture and bedding,Apparel,Used cars and trucks,Medical care,Sporting goods,Public transportation
245,2000-06-01,3.7,2.3,2.2,2.4,21.3,1.7,40.3,2.5,-1.5,-2.0,3.2,4.1,-0.9,10.4
246,2000-07-01,3.7,2.6,2.8,2.4,19.3,2.5,32.9,2.5,-1.3,-2.2,2.0,4.1,-1.5,6.4
247,2000-08-01,3.4,2.7,2.9,2.4,13.1,2.5,19.1,2.6,-1.0,-1.7,0.9,4.2,-1.7,9.4
248,2000-09-01,3.5,2.6,2.7,2.5,15.4,2.6,22.4,2.6,0.4,-1.1,0.3,4.3,-0.9,9.4
249,2000-10-01,3.4,2.4,2.4,2.5,15.9,1.9,20.9,2.5,0.6,-1.3,1.0,4.3,0.0,3.2
250,2000-11-01,3.4,2.2,2.2,2.3,16.0,2.3,21.6,2.6,0.9,-1.3,2.0,4.3,-0.6,3.4
251,2000-12-01,3.4,2.8,2.9,2.4,14.2,2.6,13.9,2.6,0.4,-1.8,3.4,4.2,0.8,4.1
252,2001-01-01,3.7,2.9,3.0,2.5,17.8,5.4,12.4,2.6,-0.7,-1.1,4.2,4.5,0.2,5.4
253,2001-02-01,3.5,3.0,3.3,2.5,13.1,4.5,8.1,2.7,-0.7,-0.6,4.8,4.6,0.2,3.9
254,2001-03-01,2.9,3.1,3.4,2.6,6.0,5.1,-5.8,2.7,-1.7,-0.2,4.5,4.6,-0.2,0.1
255,2001-04-01,3.3,3.2,3.4,2.7,10.3,5.2,3.8,2.6,-0.6,-1.1,3.7,4.6,-0.7,-0.4
256,2001-05-01,3.6,3.1,3.2,2.9,15.8,7.0,14.4,2.5,-0.7,-1.8,2.4,4.6,-0.5,-0.5
257,2001-06-01,3.2,3.4,3.6,3.0,8.4,10.1,2.2,2.7,-0.2,-1.6,2.1,4.6,0.0,1.7
258,2001-07-01,2.7,3.2,3.3,3.0,2.1,9.9,-7.8,2.7,-1.0,-1.5,1.9,4.5,-0.2,1.1
259,2001-08-01,2.7,3.1,3.1,3.1,2.8,9.5,-5.1,2.7,-1.5,-2.2,1.8,4.5,0.3,-0.9
260,2001-09-01,2.6,3.1,3.1,3.0,1.5,8.5,-2.7,2.6,-3.3,-2.8,0.7,4.5,-0.4,-0.1
261,2001-10-01,2.1,3.4,3.6,3.1,-5.6,8.1,-12.6,2.6,-3.2,-2.5,-0.1,4.6,-1.0,0.5
262,2001-11-01,1.9,3.4,3.5,3.2,-10.1,6.8,-21.5,2.8,-3.1,-2.9,-1.2,4.8,-0.8,-1.9
263,2001-12-01,1.6,2.8,2.6,3.0,-13.0,6.1,-24.9,2.7,-3.1,-3.2,-1.9,4.7,-1.6,-2.2
264,2002-01-01,1.1,2.9,2.9,2.9,-15.7,2.6,-22.7,2.6,-3.0,-4.0,-3.0,4.7,-1.6,-2.1
265,2002-02-01,1.1,2.7,2.4,3.0,-15.9,2.4,-23.0,2.6,-3.2,-3.8,-4.1,4.5,-1.0,-2.3
266,2002-03-01,1.5,2.6,2.5,2.8,-10.7,1.9,-13.1,2.4,-2.8,-3.0,-4.9,4.4,-1.7,-1.0
267,2002-04-01,1.6,2.5,2.4,2.6,-8.2,0.9,-9.0,2.5,-3.0,-2.4,-4.9,4.6,-1.5,0.7
268,2002-05-01,1.2,1.9,1.6,2.6,-12.3,0.0,-17.3,2.5,-2.0,-2.1,-4.6,4.7,-1.6,1.2
269,2002-06-01,1.1,1.6,1.0,2.6,-11.1,-3.1,-15.4,2.3,-1.9,-2.9,-4.2,4.5,-3.0,-2.3
270,2002-07-01,1.5,1.4,0.7,2.5,-5.2,-3.9,-3.7,2.2,-1.7,-3.2,-3.5,4.9,-2.2,-3.0
271,2002-08-01,1.8,1.2,0.4,2.3,-2.8,-3.2,-0.2,2.4,-1.6,-1.7,-2.9,4.7,-1.9,-2.0
272,2002-09-01,1.5,1.3,0.5,2.3,-4.8,-2.7,-7.3,2.2,-1.6,-1.7,-3.2,4.6,-2.1,-2.9
273,2002-10-01,2.0,0.9,-0.1,2.3,3.0,-2.9,7.2,2.2,-1.2,-2.1,-4.5,4.8,-1.4,-2.7
274,2002-11-01,2.2,1.3,0.5,2.3,8.0,-2.6,19.3,2.0,-1.5,-2.0,-5.5,5.0,-1.3,-1.4
275,2002-12-01,2.4,1.5,0.8,2.3,10.7,-1.9,24.8,1.9,-1.1,-1.8,-5.5,5.0,-1.4,-0.9
276,2003-01-01,2.6,1.0,0.3,2.0,14.1,-0.8,29.3,1.9,-0.9,-1.9,-4.7,4.6,-0.9,-1.7
277,2003-02-01,3.0,1.4,0.9,2.1,22.0,-0.2,43.1,1.7,-0.5,-2.3,-3.6,4.5,-1.2,-1.8
278,2003-03-01,3.0,1.4,0.8,2.2,23.4,0.8,37.6,1.7,-1.2,-3.6,-2.4,4.3,-1.4,-0.9
279,2003-04-01,2.2,1.2,0.5,2.2,13.0,2.8,15.8,1.5,-0.9,-3.8,-2.2,4.0,-1.5,-1.2
280,2003-05-01,2.1,1.7,1.3,2.2,9.0,3.7,8.1,1.6,-1.6,-3.6,-2.6,4.0,-1.9,-0.1
281,2003-06-01,2.1,2.2,2.2,2.1,9.3,3.2,8.4,1.5,-1.8,-2.6,-3.2,4.1,-0.1,1.5
282,2003-07-01,2.1,2.1,2.1,2.1,9.0,3.1,8.1,1.5,-1.5,-2.1,-4.6,3.8,-0.3,3.3
283,2003-08-01,2.2,2.5,2.7,2.1,11.8,3.3,14.5,1.3,-1.2,-2.7,-6.6,3.9,-0.7,2.1
284,2003-09-01,2.3,2.4,2.8,2.0,14.7,3.8,21.0,1.2,-1.3,-2.1,-8.7,4.0,-0.9,2.3
285,2003-10-01,2.0,2.9,3.7,2.1,8.8,3.2,9.8,1.3,-1.5,-1.6,-10.4,3.7,-1.5,3.9
286,2003-11-01,1.8,3.2,3.9,2.2,6.2,2.7,5.5,1.1,-1.8,-1.9,-11.3,3.5,-1.1,2.8
287,2003-12-01,1.9,3.6,4.5,2.3,6.9,2.6,6.8,1.1,-1.6,-2.1,-11.8,3.7,-0.7,1.3
288,2004-01-01,1.9,3.5,4.1,2.8,7.8,3.1,8.3,1.1,-0.7,-1.9,-11.8,3.8,-0.9,2.0
289,2004-02-01,1.7,3.3,3.6,2.7,3.8,3.2,2.0,1.2,-0.5,-1.7,-11.7,4.2,-0.1,2.2
290,2004-03-01,1.7,3.2,3.7,2.7,0.4,1.6,1.6,1.6,-0.1,-0.1,-11.6,4.5,0.9,1.8
291,2004-04-01,2.3,3.4,3.8,2.8,5.6,0.9,11.0,1.8,-0.8,0.3,-11.5,4.7,1.0,2.1
292,2004-05-01,3.1,4.1,4.9,2.9,15.0,0.6,30.0,1.7,-0.7,0.7,-10.9,4.6,0.9,-0.4
293,2004-06-01,3.3,3.7,4.4,2.8,17.0,1.9,33.4,1.9,0.9,0.5,-11.4,4.6,1.0,-1.0
294,2004-07-01,3.0,4.0,4.6,3.0,14.3,2.0,26.5,1.8,-0.1,-0.3,-9.3,4.5,-0.6,-1.1
295,2004-08-01,2.7,3.5,3.9,3.2,10.5,2.2,16.5,1.7,-0.9,-0.6,-6.6,4.4,-1.3,-1.9
296,2004-09-01,2.5,3.3,3.3,3.3,6.7,1.6,9.6,2.0,-0.7,-0.7,-1.8,4.4,-0.7,-2.8
297,2004-10-01,3.2,3.4,3.5,3.3,15.2,0.9,26.6,2.0,-0.2,-0.6,1.3,4.5,-0.9,-2.3
298,2004-11-01,3.5,3.2,3.1,3.2,19.2,2.3,30.9,2.2,-0.1,-0.1,3.6,4.4,-0.8,0.3
299,2004-12-01,3.3,2.7,2.4,3.0,16.6,2.1,26.1,2.2,-0.2,-0.2,4.8,4.2,-1.2,-0.1
300,2005-01-01,3.0,2.9,2.7,3.2,10.6,3.5,14.3,2.3,-0.7,0.3,5.1,4.3,-0.7,-0.9
301,2005-02-01,3.0,2.6,2.2,3.2,10.4,3.2,14.7,2.4,-2.2,0.1,5.0,4.3,-1.0,-1.1
302,2005-03-01,3.1,2.5,2.1,3.2,12.4,4.3,16.8,2.3,-1.3,0.0,5.0,4.3,-1.6,0.1
303,2005-04-01,3.5,3.1,3.1,3.2,17.1,4.1,24.2,2.2,-0.6,-0.5,5.2,4.3,-1.4,1.7
304,2005-05-01,2.8,2.4,2.0,3.2,9.9,5.0,10.3,2.2,-0.1,-0.8,5.3,4.3,-0.9,3.5
305,2005-06-01,2.5,2.2,1.4,3.3,7.3,5.6,6.9,2.0,-2.8,-1.5,7.1,4.2,-1.0,4.8
306,2005-07-01,3.2,2.1,1.4,3.1,14.2,5.5,19.5,2.1,-1.6,-1.8,6.7,4.2,0.9,5.5
307,2005-08-01,3.6,2.2,1.5,3.1,20.2,5.7,31.3,2.1,-1.2,-0.6,6.1,3.9,1.9,6.5
308,2005-09-01,4.7,2.5,2.1,3.0,34.8,6.4,54.8,2.0,-1.3,-0.6,3.7,3.9,2.3,7.5
309,2005-10-01,4.3,2.2,1.5,3.1,29.5,8.4,37.0,2.1,-1.4,-1.1,2.8,4.1,3.0,7.8
310,2005-11-01,3.5,2.2,1.5,3.2,18.3,11.4,16.1,2.1,-0.2,-1.2,2.0,4.5,1.6,5.8
311,2005-12-01,3.4,2.3,1.7,3.2,17.1,10.7,16.1,2.2,0.6,-1.1,1.4,4.3,1.8,5.9
312,2006-01-01,4.0,2.6,2.4,3.0,24.8,15.0,27.4,2.1,0.4,-1.0,1.3,4.0,1.3,7.6
313,2006-02-01,3.6,2.8,2.4,3.0,20.1,15.4,20.6,2.1,1.0,-1.8,1.4,4.0,1.0,7.5
314,2006-03-01,3.4,2.6,2.2,3.1,17.3,14.9,17.0,2.1,-0.1,-1.2,1.7,4.1,1.5,5.9
315,2006-04-01,3.5,1.8,0.9,3.1,17.8,14.8,21.5,2.3,0.2,-0.2,1.7,4.1,2.3,4.8
316,2006-05-01,4.2,1.9,0.8,3.2,23.6,13.0,33.4,2.4,0.4,0.0,1.5,4.2,2.1,5.1
317,2006-06-01,4.3,2.2,1.5,3.1,23.3,12.8,34.0,2.6,2.0,0.5,1.1,4.1,1.5,5.4
318,2006-07-01,4.1,2.2,1.5,3.2,20.5,12.7,29.6,2.7,1.4,0.0,0.8,4.0,2.3,5.0
319,2006-08-01,3.8,2.4,1.9,3.1,15.1,12.0,19.6,2.8,2.0,0.3,0.3,4.3,1.9,4.9
320,2006-09-01,2.1,2.5,2.2,3.0,-4.3,11.8,-11.9,2.9,1.4,1.0,-0.4,4.2,-0.1,4.0
321,2006-10-01,1.3,2.6,2.3,3.0,-11.3,10.4,-18.3,2.7,1.5,0.5,-0.9,4.0,0.4,1.9
322,2006-11-01,2.0,2.3,1.7,3.1,-3.8,6.5,-4.2,2.6,0.6,0.2,-1.5,3.7,1.6,-0.2
323,2006-12-01,2.5,2.1,1.4,3.2,2.9,7.5,6.4,2.6,-0.7,0.9,-2.2,3.6,1.5,0.1
324,2007-01-01,2.1,2.4,1.7,3.3,-3.1,4.1,-2.7,2.7,-0.8,0.9,-2.9,4.3,1.1,0.7
325,2007-02-01,2.4,3.1,2.9,3.4,-1.0,3.7,-1.4,2.7,0.5,2.1,-3.5,4.3,0.5,1.2
326,2007-03-01,2.8,3.3,3.4,3.3,4.4,3.8,7.2,2.5,0.9,0.5,-4.0,4.0,0.8,1.5
327,2007-04-01,2.6,3.7,3.9,3.4,2.9,3.7,3.2,2.3,0.1,-0.4,-4.3,4.0,-0.5,1.0
328,2007-05-01,2.7,3.9,4.4,3.3,4.7,4.1,6.0,2.2,-0.6,-0.8,-4.6,4.0,-0.3,-0.4
329,2007-06-01,2.7,4.1,4.6,3.4,4.6,3.4,5.0,2.2,-0.8,-1.4,-4.5,4.0,-0.6,-0.4
330,2007-07-01,2.4,4.2,4.6,3.6,1.0,3.1,-1.1,2.2,-0.8,-0.3,-4.3,4.3,-2.0,-0.7
331,2007-08-01,2.0,4.3,4.7,3.8,-2.5,3.0,-6.4,2.1,-1.4,-1.4,-3.7,4.5,-2.2,-0.5
332,2007-09-01,2.8,4.5,4.7,4.1,5.3,3.1,8.7,2.1,-1.3,-1.8,-2.7,4.6,-0.7,0.5
333,2007-10-01,3.5,4.4,4.7,4.1,14.5,4.7,23.4,2.2,-2.5,-1.2,-1.7,4.8,-1.3,2.6
334,2007-11-01,4.3,4.8,5.4,4.1,21.4,5.5,37.1,2.3,-1.9,-0.4,-0.5,5.0,-1.0,6.1
335,2007-12-01,4.1,4.9,5.6,4.0,17.4,5.2,29.6,2.4,-2.1,-0.3,0.5,5.2,-0.9,7.2
336,2008-01-01,4.3,4.9,5.8,3.9,19.6,3.7,34.5,2.5,-1.8,-0.2,1.4,4.9,-0.4,5.8
337,2008-02-01,4.0,4.6,5.1,3.9,18.9,3.4,32.7,2.3,-2.5,-1.0,2.0,4.5,-0.1,5.2
338,2008-03-01,4.0,4.5,4.7,4.1,17.0,3.7,26.0,2.4,-1.2,-1.4,2.1,4.6,-0.4,7.5
339,2008-04-01,3.9,5.1,5.9,4.1,15.9,5.0,20.7,2.3,-2.1,-0.7,1.8,4.3,0.1,7.3
340,2008-05-01,4.2,5.1,5.8,4.3,17.4,5.8,20.8,2.3,-2.4,-0.6,1.4,4.1,0.7,10.2
341,2008-06-01,5.0,5.3,6.1,4.4,24.7,5.6,32.8,2.4,-2.2,-0.2,0.7,4.0,2.1,13.4
342,2008-07-01,5.6,6.0,7.1,4.6,29.3,7.9,37.9,2.5,-1.4,0.8,-0.1,3.5,2.8,14.5
343,2008-08-01,5.4,6.1,7.5,4.5,27.2,9.1,35.6,2.5,-0.8,1.7,-1.3,3.3,2.4,15.2
344,2008-09-01,4.9,6.2,7.6,4.5,23.1,7.7,31.7,2.5,0.3,1.4,-3.1,3.2,2.7,13.3
345,2008-10-01,3.7,6.3,7.5,4.8,11.5,8.1,12.0,2.2,1.5,0.3,-5.3,2.8,4.0,8.4
346,2008-11-01,1.1,6.0,7.0,4.9,-13.3,8.1,-29.4,2.0,0.3,0.0,-7.1,2.7,3.6,4.1
347,2008-12-01,0.1,5.9,6.6,5.0,-21.3,8.6,-43.1,1.8,-0.1,-1.0,-8.1,2.6,3.0,1.8
348,2009-01-01,0.0,5.3,5.7,4.9,-20.4,8.7,-40.4,1.7,0.0,-0.9,-9.0,2.6,2.4,0.0
349,2009-02-01,0.2,4.8,4.8,4.8,-18.5,9.2,-35.6,1.8,0.4,0.8,-10.5,2.8,3.2,-1.8
350,2009-03-01,-0.4,4.4,4.3,4.6,-23.0,8.2,-39.3,1.8,-0.2,1.4,-11.8,2.8,3.2,-5.0
351,2009-04-01,-0.7,3.3,2.3,4.6,-25.2,6.3,-39.5,1.9,1.4,0.9,-11.4,3.0,2.7,-5.9
352,2009-05-01,-1.3,2.7,1.5,4.2,-27.3,4.8,-39.4,1.8,2.4,0.8,-10.0,3.2,2.0,-9.0
353,2009-06-01,-1.4,2.1,0.8,3.8,-25.5,2.8,-34.6,1.7,2.0,1.5,-8.6,3.2,1.6,-12.1
354,2009-07-01,-2.1,0.9,-0.9,3.2,-28.1,0.1,-37.3,1.5,0.8,1.1,-7.9,3.2,0.2,-11.5
355,2009-08-01,-1.5,0.4,-1.6,3.0,-23.0,-1.2,-30.0,1.4,-1.0,0.6,-5.4,3.3,0.9,-11.0
356,2009-09-01,-1.3,-0.2,-2.5,2.6,-21.6,-0.1,-29.7,1.5,-0.7,1.1,-2.7,3.5,1.1,-8.2
357,2009-10-01,-0.2,-0.6,-2.8,2.2,-14.0,-0.6,-17.9,1.7,-1.4,1.4,2.3,3.5,0.1,-4.5
358,2009-11-01,1.8,-0.7,-2.9,2.1,7.4,0.1,23.6,1.7,-1.3,1.0,5.8,3.5,-1.4,0.3
359,2009-12-01,2.7,-0.5,-2.4,1.9,18.2,-0.5,53.5,1.8,0.0,1.9,9.2,3.4,-1.1,3.2
360,2010-01-01,2.6,-0.4,-2.0,1.6,19.1,-1.9,51.3,1.6,-0.6,1.7,11.5,3.5,-0.9,2.8
361,2010-02-01,2.1,-0.2,-1.5,1.4,14.4,-2.7,36.8,1.3,-1.6,0.0,14.1,3.6,-1.3,4.5
362,2010-03-01,2.3,0.2,-0.7,1.2,18.3,-0.5,41.4,1.1,-2.9,-0.4,16.3,3.7,-1.2,6.1
363,2010-04-01,2.2,0.5,0.0,1.1,18.5,0.6,38.3,0.9,-5.0,-0.9,16.6,3.6,-1.4,8.4
364,2010-05-01,2.0,0.7,0.3,1.1,14.7,0.7,27.0,0.9,-4.5,-0.6,16.2,3.4,-1.3,10.7
365,2010-06-01,1.1,0.7,0.2,1.2,3.0,0.4,3.9,0.9,-5.4,-0.4,16.1,3.5,-0.8,10.9
366,2010-07-01,1.2,0.9,0.7,1.1,5.2,1.3,7.4,0.9,-5.2,-0.3,17.0,3.2,-0.2,7.7
367,2010-08-01,1.1,1.0,0.8,1.2,3.8,1.6,4.4,0.9,-4.2,-0.4,15.5,3.2,-0.4,6.6
368,2010-09-01,1.1,1.4,1.4,1.4,3.8,1.1,5.1,0.8,-5.3,-1.2,12.9,3.4,-1.1,5.3
369,2010-10-01,1.2,1.4,1.4,1.4,5.9,0.6,9.5,0.6,-4.8,-1.2,8.6,3.4,-1.5,4.3
370,2010-11-01,1.1,1.5,1.7,1.3,3.9,0.3,7.3,0.8,-4.4,-0.8,6.0,3.2,0.0,4.4
371,2010-12-01,1.5,1.5,1.7,1.3,7.7,0.7,13.8,0.8,-4.5,-1.1,3.7,3.3,-0.5,4.9
372,2011-01-01,1.6,1.8,2.1,1.5,7.3,1.2,13.4,1.0,-4.6,0.0,2.4,2.9,-0.5,7.7
373,2011-02-01,2.1,2.3,2.8,1.6,11.0,2.2,19.2,1.1,-4.3,-0.4,1.9,2.9,0.1,9.7
374,2011-03-01,2.7,2.9,3.6,1.9,15.5,1.0,27.5,1.2,-3.3,-0.6,2.3,2.7,-0.2,10.5
375,2011-04-01,3.2,3.2,3.9,2.1,19.0,0.6,33.1,1.3,-1.4,0.1,3.3,2.9,-0.1,9.3
376,2011-05-01,3.6,3.5,4.4,2.2,21.5,1.8,36.9,1.5,-1.6,1.0,4.1,3.0,0.1,7.2
377,2011-06-01,3.6,3.7,4.7,2.3,20.1,1.5,35.6,1.6,0.0,1.9,5.1,2.9,-0.3,5.6
378,2011-07-01,3.6,4.2,5.4,2.6,19.0,2.0,33.6,1.8,-0.2,3.1,5.3,3.2,-0.3,6.0
379,2011-08-01,3.8,4.6,6.0,2.7,18.4,1.9,32.4,2.0,0.4,4.2,5.4,3.2,-0.3,7.2
380,2011-09-01,3.9,4.7,6.3,2.6,19.3,2.7,33.3,2.0,0.1,3.5,5.1,2.8,-0.5,7.4
381,2011-10-01,3.5,4.7,6.2,2.7,14.2,2.9,23.5,2.1,0.4,4.2,5.2,3.1,-0.4,7.0
382,2011-11-01,3.4,4.6,5.9,2.9,12.4,2.7,19.7,2.2,1.1,4.8,4.9,3.4,-0.9,5.3
383,2011-12-01,3.0,4.7,6.0,2.9,6.6,2.2,9.9,2.2,2.0,4.6,4.0,3.5,0.0,3.8
384,2012-01-01,2.9,4.4,5.3,3.1,6.1,2.4,9.7,2.3,1.9,4.7,3.2,3.6,0.1,1.7
385,2012-02-01,2.9,3.9,4.5,3.1,7.0,1.9,12.6,2.2,1.9,4.2,2.9,3.4,0.0,0.2
386,2012-03-01,2.7,3.3,3.6,3.0,4.6,0.6,9.0,2.3,2.1,4.9,3.2,3.5,-0.3,-0.3
387,2012-04-01,2.3,3.1,3.3,2.9,0.9,0.6,3.2,2.3,1.8,5.1,3.5,3.4,0.3,1.1
388,2012-05-01,1.7,2.8,2.7,2.9,-3.9,0.2,-4.0,2.3,1.4,4.4,3.5,3.6,-0.3,2.4
389,2012-06-01,1.7,2.7,2.6,2.9,-3.9,0.5,-4.3,2.2,0.6,3.9,2.3,4.0,-0.4,1.6
390,2012-07-01,1.4,2.3,1.9,2.9,-5.0,-1.3,-5.5,2.1,1.8,3.0,1.1,4.1,-0.2,0.1
391,2012-08-01,1.7,2.0,1.5,2.8,-0.6,-1.2,1.8,1.9,1.3,1.7,-0.6,4.1,0.0,-1.5
392,2012-09-01,2.0,1.6,0.8,2.8,2.3,-1.5,6.8,2.0,2.0,2.7,-1.6,4.1,0.9,-0.9
393,2012-10-01,2.2,1.7,1.0,2.7,4.0,-1.2,9.1,2.0,1.6,3.0,-2.1,3.7,0.8,0.6
394,2012-11-01,1.8,1.8,1.3,2.6,0.3,-0.7,1.9,1.9,1.0,1.8,-2.3,3.4,1.0,1.4
395,2012-12-01,1.7,1.8,1.3,2.5,0.5,-0.5,1.7,1.9,-0.4,1.8,-2.0,3.2,1.0,2.4
396,2013-01-01,1.6,1.6,1.1,2.3,-1.0,0.5,-1.5,1.9,-0.6,2.1,-1.3,3.1,0.6,3.6
397,2013-02-01,2.0,1.6,1.2,2.3,2.3,0.8,3.3,2.0,0.0,2.4,-0.2,3.1,0.0,3.3
398,2013-03-01,1.5,1.5,1.0,2.3,-1.6,0.9,-3.1,1.9,-0.6,0.8,0.1,3.1,-0.1,4.0
399,2013-04-01,1.1,1.5,1.0,2.3,-4.3,1.1,-8.3,1.7,-0.5,0.3,-0.6,2.7,-0.2,2.6
400,2013-05-01,1.4,1.4,0.8,2.3,-1.0,1.7,-4.1,1.7,-0.8,0.2,-1.6,2.2,0.3,3.2
401,2013-06-01,1.8,1.4,0.9,2.2,3.2,1.9,2.8,1.6,-0.5,0.8,-2.3,2.1,-0.3,3.6
402,2013-07-01,2.0,1.4,1.0,2.1,4.7,3.1,5.2,1.7,-1.5,1.6,-2.1,1.9,0.0,3.1
403,2013-08-01,1.5,1.4,1.0,2.0,-0.1,2.8,-2.4,1.8,-1.2,1.8,-1.0,2.3,-0.6,1.9
404,2013-09-01,1.2,1.4,1.0,1.9,-3.1,3.2,-7.5,1.7,-2.2,0.8,0.4,2.4,-1.9,1.6
405,2013-10-01,1.0,1.3,0.8,1.9,-4.8,3.0,-10.1,1.7,-2.2,-0.2,1.4,2.3,-1.7,2.5
406,2013-11-01,1.2,1.2,0.6,2.1,-2.4,2.9,-5.8,1.7,-2.4,-0.1,2.0,2.2,-1.1,3.7
407,2013-12-01,1.5,1.1,0.4,2.1,0.5,3.2,-1.0,1.7,-2.3,0.6,2.0,2.0,-1.5,-0.1
408,2014-01-01,1.6,1.1,0.5,2.0,2.1,4.4,0.1,1.6,-1.6,-0.3,1.5,2.1,-1.4,-2.4
409,2014-02-01,1.1,1.4,0.9,2.2,-2.5,3.8,-8.1,1.6,-3.0,-0.6,0.6,2.3,-1.1,-1.8
410,2014-03-01,1.5,1.7,1.4,2.3,0.4,5.3,-4.7,1.7,-3.3,0.5,0.1,2.2,-0.9,-2.5
411,2014-04-01,2.0,1.9,1.7,2.2,3.3,2.1,2.4,1.8,-2.6,0.6,0.2,2.4,-0.4,0.1
412,2014-05-01,2.1,2.5,2.7,2.2,3.3,3.6,2.3,2.0,-2.5,0.8,0.2,2.8,-1.9,3.1
413,2014-06-01,2.1,2.3,2.4,2.2,3.2,4.2,2.0,1.9,-2.5,0.9,0.1,2.6,-1.3,3.5
414,2014-07-01,2.0,2.5,2.7,2.4,2.6,4.0,0.8,1.9,-3.1,0.3,0.2,2.6,-2.2,0.0
415,2014-08-01,1.7,2.7,2.9,2.5,0.4,4.1,-2.8,1.7,-3.6,0.0,0.0,2.1,-1.7,-1.7
416,2014-09-01,1.7,3.0,3.2,2.7,-0.6,2.8,-3.6,1.7,-3.5,0.5,-0.4,2.0,-0.4,-2.2
417,2014-10-01,1.7,3.1,3.3,2.8,-1.6,3.1,-5.0,1.8,-2.7,0.7,-1.7,2.1,-0.8,-1.8
418,2014-11-01,1.3,3.2,3.4,2.9,-4.8,2.8,-10.5,1.7,-2.2,-0.3,-3.1,2.5,-2.0,-2.4
419,2014-12-01,0.8,3.4,3.7,3.0,-10.6,3.1,-21.0,1.6,-1.6,-2.0,-4.2,3.0,-2.2,-2.9
420,2015-01-01,-0.1,3.2,3.3,3.1,-19.6,2.5,-35.4,1.6,-2.2,-1.4,-4.0,2.6,-1.9,-1.8
421,2015-02-01,0.0,3.0,2.9,3.1,-18.8,3.2,-32.8,1.7,-1.5,-0.8,-2.9,2.3,-1.9,-1.9
422,2015-03-01,-0.1,2.3,1.9,2.9,-18.3,0.9,-29.2,1.8,-0.7,-0.5,-1.3,2.5,-2.2,-3.3
423,2015-04-01,-0.2,2.0,1.3,2.9,-19.4,3.8,-31.7,1.8,0.0,-0.8,-0.5,2.9,-2.2,-4.7
424,2015-05-01,0.0,1.6,0.6,3.0,-16.3,0.5,-25.0,1.7,-0.8,-1.5,-0.5,2.8,-2.0,-4.1
425,2015-06-01,0.1,1.8,1.0,3.0,-15.0,0.0,-23.3,1.8,-1.0,-1.8,-0.7,2.5,-2.2,-3.2
426,2015-07-01,0.2,1.6,0.9,2.7,-14.8,-0.7,-22.3,1.8,-0.4,-1.6,-1.1,2.5,-0.9,-3.1
427,2015-08-01,0.2,1.6,0.8,2.7,-15.0,-0.6,-23.3,1.8,-0.9,-0.9,-1.5,2.5,-0.9,-2.9
428,2015-09-01,0.0,1.6,0.8,2.9,-18.4,-0.4,-29.6,1.9,0.2,-1.4,-1.7,2.5,-1.2,-2.9
429,2015-10-01,0.2,1.6,0.7,2.9,-17.1,-0.5,-27.8,1.9,-0.5,-1.9,-1.4,3.0,-1.7,-2.3
430,2015-11-01,0.5,1.3,0.3,2.7,-14.7,-0.2,-24.1,2.0,-0.6,-1.5,-0.6,2.9,-1.4,-1.8
431,2015-12-01,0.7,0.8,-0.4,2.6,-12.6,-1.2,-19.7,2.1,-0.8,-0.9,0.4,2.6,-0.9,-1.0
432,2016-01-01,1.4,0.8,-0.5,2.7,-6.5,-2.4,-7.3,2.2,-0.3,-0.5,0.9,3.0,-1.0,-0.1
433,2016-02-01,1.0,0.9,-0.3,2.6,-12.5,-3.0,-20.7,2.3,-0.6,0.9,0.4,3.5,-1.8,-0.1
434,2016-03-01,0.9,0.8,-0.5,2.7,-12.6,-1.7,-20.9,2.2,-1.2,-0.6,-0.6,3.3,-1.3,0.3
435,2016-04-01,1.1,0.9,-0.3,2.7,-8.9,-2.1,-13.8,2.1,-2.7,-0.6,-1.5,3.0,-0.6,1.1
436,2016-05-01,1.0,0.7,-0.7,2.6,-10.1,-1.3,-16.9,2.2,-2.5,0.5,-2.3,3.1,0.3,-1.0
437,2016-06-01,1.0,0.3,-1.3,2.6,-9.4,-1.8,-15.4,2.2,-3.1,0.4,-3.1,3.5,-1.1,-2.3
438,2016-07-01,0.8,0.2,-1.6,2.8,-10.9,-1.0,-19.9,2.2,-3.0,0.3,-3.7,3.9,-1.7,-2.2
439,2016-08-01,1.1,0.0,-1.9,2.8,-9.2,-0.7,-17.8,2.3,-2.9,0.3,-4.0,4.9,-1.8,-1.2
440,2016-09-01,1.5,-0.3,-2.2,2.4,-2.9,0.1,-6.5,2.2,-3.2,-0.1,-4.1,4.9,-2.2,-0.8
441,2016-10-01,1.6,-0.4,-2.3,2.4,0.1,0.4,-0.9,2.1,-2.0,0.7,-4.1,4.3,-1.3,-2.7
442,2016-11-01,1.7,-0.4,-2.2,2.3,1.1,0.2,1.0,2.1,-2.7,0.3,-3.8,4.0,-1.6,-3.4
443,2016-12-01,2.1,-0.2,-2.0,2.3,5.4,0.7,9.1,2.2,-2.8,-0.1,-3.5,4.1,-1.4,-2.3
444,2017-01-01,2.5,-0.2,-1.9,2.4,10.8,1.0,20.3,2.3,-2.0,1.0,-3.7,3.9,-1.6,-1.3
445,2017-02-01,2.7,0.0,-1.7,2.4,15.2,1.9,30.7,2.2,-1.4,0.4,-4.3,3.5,-1.1,0.0
