,title,genre
53065,Black Christmas,"Horror, Mystery, Thriller"
53122,Piccoli brividi,"Adventure, Comedy, Family"
53124,L'uomo invisibile,"Horror, Mystery, Sci-Fi"
53147,Un anno da leoni,Comedy
53332,Boyhood,Drama
53369,Come l'acqua per gli elefanti,"Drama, Romance"
53373,Adult World,"Comedy, Drama"
53375,Monte Carlo,"Adventure, Comedy, Family"
53379,Footloose,"Comedy, Drama, Music"
53453,Ghost Rider - Spirito di vendetta,"Action, Fantasy, Thriller"
53462,La vedova Winchester,"Biography, Drama, Fantasy"
53497,Skyfall,"Action, Adventure, Thriller"
53556,Dark Shadows,"Comedy, Fantasy, Horror"
53634,The Belko Experiment: Chi sopravviverÃ ?,"Horror, Thriller"
53644,Eddie the Eagle - Il coraggio della follia,"Biography, Comedy, Drama"
53699,Insieme per forza,"Comedy, Romance"
53787,Lone Survivor,"Action, Biography, Drama"
53825,Paul,"Adventure, Comedy, Sci-Fi"
53849,L'ora nera,"Action, Adventure, Horror"
53958,Foxcatcher: Una storia americana,"Biography, Drama, Sport"
53986,Inside the Rain,"Comedy, Drama, Romance"
54098,Paddington,"Adventure, Comedy, Family"
54224,Il settimo figlio,"Action, Adventure, Fantasy"
54254,Le idi di marzo,"Drama, Thriller"
54255,Free State of Jones,"Action, Biography, Drama"
54289,Big Eyes,"Biography, Crime, Drama"
54393,Una ragazza a Las Vegas,"Comedy, Drama, Romance"
54417,Lanterna Verde,"Action, Adventure, Sci-Fi"
54473,Sognare Ã¨ vivere,"Biography, Drama, History"
54485,Il giustiziere della notte - Death Wish,"Action, Crime, Drama"
54549,Frankenweenie,"Animation, Comedy, Family"
54687,Beastly,"Drama, Fantasy, Romance"
54837,Il rito,"Drama, Horror, Mystery"
54889,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy"
54904,L'amore in valigia,"Comedy, Romance"
54914,Demolition: Amare e vivere,"Action, Comedy, Drama"
55031,A spasso nel bosco,"Adventure, Biography, Comedy"
55063,10 Cloverfield Lane,"Action, Drama, Horror"
55076,Cime tempestose,"Drama, Romance"
55192,La pelle che abito,"Drama, Horror, Thriller"
55195,The Lincoln Lawyer,"Crime, Drama, Thriller"
55244,Rango,"Animation, Adventure, Comedy"
55258,The Bourne Legacy,"Action, Adventure, Thriller"
55288,5 anni di fidanzamento,"Comedy, Romance"
55353,Harry Potter e i Doni della Morte - Parte 2,"Adventure, Drama, Fantasy"
55378,I Muppet,"Adventure, Comedy, Family"
55385,Last Vegas,"Comedy, Drama"
55386,Ouija,"Horror, Mystery, Thriller"
55394,Jack Ryan - L'iniziazione,"Action, Drama, Thriller"
55415,Il fuoco della vendetta - Out of the Furnace,"Action, Crime, Drama"
55418,Rambo: Last Blood,"Action, Thriller"
55451,L'arte di vincere,"Biography, Drama, Sport"
55460,The Lone Ranger,"Action, Adventure, Comedy"
55465,Doctor Strange,"Action, Adventure, Fantasy"
55466,Middle of Nowhere,Drama
55467,Escape Plan - Fuga dall'inferno,"Action, Thriller"
55479,CiviltÃ  perduta,"Biography, Drama, History"
55482,Lawless,"Crime, Drama"
55493,First Man - Il primo uomo,"Biography, Drama, History"
55498,La fine del mondo,"Comedy, Sci-Fi"
55516,Solo per vendetta,"Action, Crime, Drama"
55527,Cars 2,"Animation, Adventure, Comedy"
55537,Ribelle: The Brave,"Animation, Adventure, Comedy"
55546,World Invasion,"Action, Sci-Fi"
55561,Limitless,"Sci-Fi, Thriller"
55569,Ghost in the Shell,"Action, Crime, Drama"
55613,Il signore dello zoo,"Comedy, Family, Fantasy"
55667,Beautiful Boy,"Biography, Drama"
55700,Mission: Impossible - Protocollo fantasma,"Action, Adventure, Thriller"
55701,Anchorman 2 - Fotti la notizia,Comedy
55714,Diverso come me,"Biography, Drama"
55723,Not Fade Away,Drama
55752,Indovina perchÃ© ti odio,Comedy
55766,21 Jump Street,"Action, Comedy, Crime"
55780,Pariah,Drama
55818,Red Dawn - Alba rossa,"Action, Drama"
55819,RoboCop,"Action, Crime, Sci-Fi"
55829,The Future,"Drama, Fantasy, Romance"
55838,Broken City,"Action, Crime, Drama"
55852,Medianeras - Innamorarsi a Buenos Aires,"Comedy, Drama"
55912,Sua MaestÃ ,"Adventure, Comedy, Fantasy"
55916,Locker 13,Thriller
55929,...e ora parliamo di Kevin,"Drama, Mystery, Thriller"
55942,Bellflower,"Action, Drama, Romance"
55966,Sotto il cielo delle Hawaii,"Comedy, Drama, Romance"
55985,Facciamola finita,Comedy
56019,Una folle passione,"Drama, History, Romance"
56053,Salvation Boulevard,"Comedy, Crime, Drama"
56076,300 - L'alba di un impero,"Action, Drama"
56077,Immortals,"Action, Drama, Fantasy"
56087,Holmes & Watson - 2 de menti al servizio della regina,"Comedy, Crime, Mystery"
56112,L'uomo con i pugni di ferro,Action
56119,Quella casa nel bosco,Horror
56120,Nella tana dei lupi,"Action, Crime, Drama"
56172,Scream 4,"Horror, Mystery"
56214,The Roommate - Il terrore ti dorme accanto,"Drama, Mystery, Thriller"
56234,Hercules: Il guerriero,"Action, Adventure, Fantasy"
56250,"Harold & Kumar, un Natale da ricordare","Adventure, Comedy"
56266,The Devil's Double,"Biography, Drama, Thriller"
56282,Venom,"Action, Adventure, Sci-Fi"
56283,X-Men - L'inizio,"Action, Adventure, Sci-Fi"
56299,Cani sciolti,"Action, Comedy, Thriller"
56305,London Fields,"Crime, Mystery, Thriller"
56341,Looper,"Action, Drama, Sci-Fi"
56352,Madagascar 3 - Ricercati in Europa,"Animation, Adventure, Comedy"
56390,Wedding Palace,"Comedy, Romance"
56401,Fort McCoy,"Drama, History, War"
56433,Bad Teacher - Una cattiva maestra,"Comedy, Romance"
56441,The Strangers: Prey at Night,Horror
56456,Don 2,"Action, Crime, Thriller"
56509,La casa,"Fantasy, Horror, Thriller"
56524,Ghostbusters,"Action, Comedy, Fantasy"
56552,Tartarughe Ninja,"Action, Adventure, Comedy"
56563,Warrior,"Action, Drama, Sport"
56567,Single ma non troppo,"Comedy, Drama, Romance"
56582,xXx - Il ritorno di Xander Cage,"Action, Adventure, Thriller"
56623,The FP,"Action, Comedy, Drama"
56645,Eva,"Drama, Fantasy, Sci-Fi"
56654,Attenti a quelle due,"Comedy, Crime"
56656,Vicini del terzo tipo,"Comedy, Sci-Fi"
56657,Pirati dei Caraibi - Oltre i confini del mare,"Action, Adventure, Fantasy"
56671,Iron Man 3,"Action, Adventure, Sci-Fi"
56681,Kung Fu Panda 2,"Animation, Action, Adventure"
56715,Milo su Marte,"Animation, Action, Adventure"
56741,50 e 50,"Comedy, Drama, Romance"
56750,Cercasi amore per la fine del mondo,"Adventure, Comedy, Drama"
56756,Go for It!,"Drama, Musical"
56771,Pupazzi senza gloria,"Action, Comedy, Crime"
56772,Jimmy Bobo - Bullet to the Head,"Action, Crime, Thriller"
56870,There Be Dragons - Un santo nella tempesta,"Biography, Drama, War"
56886,L'alba del pianeta delle scimmie,"Action, Drama, Sci-Fi"
56888,L'uomo che uccise Don Chisciotte,"Adventure, Comedy, Drama"
56926,Oldboy,"Action, Drama, Mystery"
56927,Mr. Beaver,Drama
56931,Gangster Squad,"Action, Crime, Drama"
56935,I segreti di Osage County,"Comedy, Drama"
56975,The Twilight Saga: Breaking Dawn - Parte 1,"Adventure, Drama, Fantasy"
56996,Ho cercato il tuo nome,"Drama, Mystery, Romance"
57001,The Butler - Un maggiordomo alla Casa Bianca,"Biography, Drama"
57079,Comic Movie,Comedy
57093,Arturo,"Comedy, Romance"
57100,47 Ronin,"Action, Drama, Fantasy"
57109,Rock of Ages,"Comedy, Drama, Musical"
57160,Terminator Genisys,"Action, Adventure, Sci-Fi"
57171,La talpa,"Drama, Mystery, Thriller"
57199,Il grande Gatsby,"Drama, Romance"
57208,Dredd - Il giudice dell'apocalisse,"Action, Crime, Sci-Fi"
57234,Il cavaliere oscuro - Il ritorno,"Action, Adventure"
57272,Il cacciatore di giganti,"Adventure, Fantasy"
57303,Resta anche domani,"Drama, Fantasy, Music"
57304,The Infiltrator,"Biography, Crime, Drama"
57305,Le chat du rabbin,"Animation, Comedy, Fantasy"
57306,Passengers,"Drama, Romance, Sci-Fi"
57307,Black Mass - L'ultimo gangster,"Biography, Crime, Drama"
57374,Sex and Zen 3D,"Comedy, Drama"
57375,Beasts of No Nation,"Drama, War"
57389,Tomb Raider,"Action, Adventure, Fantasy"
57393,Lowriders,"Adventure, Crime, Drama"
57394,Lo spaventapassere,Comedy
57395,La fredda luce del giorno,"Action, Adventure, Thriller"
57430,Cloud Atlas,"Action, Drama, Mystery"
57433,This Is Where I Leave You,"Comedy, Drama"
57471,PPZ: Pride and Prejudice and Zombies,"Action, Comedy, Fantasy"
57473,Upside Down,"Drama, Fantasy, Romance"
57484,The Adventurer - Il mistero dello scrigno di Mida,"Adventure, Family, Fantasy"
57534,La regola del silenzio - The Company You Keep,"Drama, Thriller"
57571,I guardiani del destino,"Romance, Sci-Fi, Thriller"
57584,Suicide Squad,"Action, Adventure, Fantasy"
57585,Total Recall - Atto di forza,"Action, Adventure, Sci-Fi"
57609,Downsizing - Vivere alla grande,"Drama, Sci-Fi"
